company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
INDIGO,2024,11.85,76.3,892.57,0.02,22.61,56.39,9424.0,11759.0,212.0,190.62,0.0,17.0,21183.0
LICI,2019,0.46,1.04,324.32,332.59,,0.17,22910.0,9636.0,,81.0,2.0,269401.0,13274.0
LICI,2020,0.43,-1.11,270.46,252.91,,0.18,13952.0,40415.0,,100.2,2.0,253414.0,54367.0
LT,2013,7.11,15.31,395.15,0.17,3.0,31.97,-11277.0,6922.0,38.0,836.88,22.0,234.0,-4355.0
LT,2014,5.74,16.56,303.42,0.07,2.37,31.9,-12653.0,5510.0,35.0,1006.25,27.0,110.0,-7143.0
LT,2015,5.4,17.06,245.11,0.11,2.35,30.87,-6143.0,4778.0,34.0,1266.25,32.0,218.0,-1365.0
LT,2016,4.54,15.31,216.09,0.03,2.42,32.24,-7867.0,4627.0,31.0,1250.0,40.0,55.0,-3240.0
LT,2017,5.93,15.2,206.3,0.0,2.65,24.75,-3141.0,9796.0,43.0,1849.41,22.0,0.0,6655.0
LT,2018,6.69,16.8,207.36,0.0,2.8,22.43,-6117.0,3914.0,53.0,2270.59,30.0,0.0,-10031.0
LT,2019,7.56,16.91,208.81,0.0,2.74,20.29,-15779.0,11023.0,63.0,2878.24,28.0,0.0,-4756.0
LT,2020,7.49,16.88,201.59,0.17,2.5,16.5,-1714.0,8408.0,68.0,3178.82,26.0,912.0,6694.0
LT,2021,9.5,17.25,176.9,0.11,2.69,12.7,17324.0,5750.0,82.0,4057.78,44.0,798.0,23074.0
NAUKRI,2021,125.71,6.56,26.28,0.01,150.73,0.18,-1767.0,2043.0,110.0,418.29,7.0,65.0,276.0
NAUKRI,2022,810.7,28.07,74.71,0.0,1296.0,0.08,-470.0,1177.0,991.0,1336.59,1.0,64.0,707.0
NESTLEIND,2019,15.91,23.66,102.61,0.1,24.6,1.72,2378.0,83.0,20.0,199.79,168.0,189.0,2295.0
NESTLEIND,2020,15.6,23.99,103.12,0.07,20.41,1.69,2133.0,321.0,22.0,210.31,93.0,147.0,2454.0
NESTLEIND,2021,14.37,24.16,108.84,0.14,17.08,1.79,316.0,1920.0,22.0,202.71,91.0,266.0,2236.0
NESTLEIND,2023,15.68,23.38,121.96,0.11,38.55,2.13,2465.0,927.0,31.0,256.15,56.0,271.0,3392.0
NESTLEIND,2024,16.12,23.83,117.75,0.1,41.19,2.32,2938.0,1237.0,41.0,347.92,79.0,345.0,4175.0
PNB,2013,11.66,,812.3,10.83,,5.63,-1292.0,600.0,28.0,123.6,19.0,6695.0,-692.0
PNB,2014,8.17,,393.36,10.82,,3.9,16604.0,302.0,20.0,141.52,10.0,10108.0,16906.0
PNB,2015,7.24,,223.24,10.44,,2.56,3942.0,872.0,18.0,151.83,18.0,16481.0,4814.0
PNB,2016,-6.91,,-163.56,12.12,,1.71,12815.0,1352.0,-19.0,168.98,-2.0,26014.0,14167.0
PNB,2018,-24.86,,-184.37,8.19,,0.77,-1350.0,392.0,-44.0,393.35,0.0,53777.0,-1742.0
PNB,2019,-18.31,,-128.45,9.66,,0.62,-34161.0,629.0,-21.0,445.21,0.0,71859.0,-33532.0
