id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
276,ASIANPAINT,Mar 2023,96.0,15896,1933,7854,25779,5770,1020,4262,14728,25779
277,ASIANPAINT,Mar 2024,96.0,18632,2474,8698,29901,7147,2698,4588,15468,29901
278,ASIANPAINT,Sep 2024,96.0,17928,2516,8934,29474,7879,2272,3695,15629,29474
1075,PNB,Mar 2013,50.0,568,6695,342,7655,14,4,777,6860,7655
1076,PNB,Mar 2014,66.0,868,10108,498,11540,26,3,645,10865,11540
1077,PNB,Mar 2015,104.0,1475,16481,976,19035,40,18,1586,17392,19035
1078,PNB,Mar 2016,127.0,2019,26014,1511,29671,58,4,1622,27987,29671
1079,PNB,Mar 2017,166.0,5412,35497,1885,42960,58,2,3280,39620,42960
1080,PNB,Mar 2018,167.0,6402,53777,2673,63018,255,10,2413,60340,63018
1081,PNB,Mar 2019,167.0,7268,71859,4456,83750,102,5,4457,79185,83750
1082,PNB,Mar 2020,168.0,7779,67736,3191,78874,250,4,2048,76572,78874
1083,PNB,Mar 2021,168.0,8699,59394,3072,71333,181,2,2033,69117,71333
1084,PNB,Mar 2022,169.0,9632,52961,2888,65649,150,4,3472,62024,65649
1085,PNB,Mar 2023,169.0,10784,53621,2231,66805,146,3,3188,63468,66805
1086,PNB,Mar 2024,260.0,14673,55017,2422,72371,206,15,4345,67804,72371
1087,PNB,Mar 2013,50.0,568,6695,342,7655,14,4,777,6860,7655
1088,PNB,Mar 2014,66.0,868,10108,498,11540,26,3,645,10865,11540
1089,PNB,Mar 2015,104.0,1475,16481,976,19035,40,18,1586,17392,19035
1090,PNB,Mar 2016,127.0,2019,26014,1511,29671,58,4,1622,27987,29671
1091,PNB,Mar 2017,166.0,5412,35497,1885,42960,58,2,3280,39620,42960
1092,PNB,Mar 2018,167.0,6402,53777,2673,63018,255,10,2413,60340,63018
1093,PNB,Mar 2019,167.0,7268,71859,4456,83750,102,5,4457,79185,83750
1094,PNB,Mar 2020,168.0,7779,67736,3191,78874,250,4,2048,76572,78874
1095,PNB,Mar 2021,168.0,8699,59394,3072,71333,181,2,2033,69117,71333
1096,PNB,Mar 2022,169.0,9632,52961,2888,65649,150,4,3472,62024,65649
1097,PNB,Mar 2023,169.0,10784,53621,2231,66805,146,3,3188,63468,66805
1098,PNB,Mar 2024,260.0,14673,55017,2422,72371,206,15,4345,67804,72371
1099,PNB,Mar 2013,50.0,568,6695,342,7655,14,4,777,6860,7655
1100,PNB,Mar 2014,66.0,868,10108,498,11540,26,3,645,10865,11540
1101,PNB,Mar 2015,104.0,1475,16481,976,19035,40,18,1586,17392,19035
1102,PNB,Mar 2016,127.0,2019,26014,1511,29671,58,4,1622,27987,29671
1103,PNB,Mar 2017,166.0,5412,35497,1885,42960,58,2,3280,39620,42960
1104,PNB,Mar 2018,167.0,6402,53777,2673,63018,255,10,2413,60340,63018
1105,PNB,Mar 2019,167.0,7268,71859,4456,83750,102,5,4457,79185,83750
1106,PNB,Mar 2020,168.0,7779,67736,3191,78874,250,4,2048,76572,78874
1107,PNB,Mar 2021,168.0,8699,59394,3072,71333,181,2,2033,69117,71333
1108,PNB,Mar 2022,169.0,9632,52961,2888,65649,150,4,3472,62024,65649
1109,PNB,Mar 2023,169.0,10784,53621,2231,66805,146,3,3188,63468,66805
1110,PNB,Mar 2024,260.0,14673,55017,2422,72371,206,15,4345,67804,72371
1111,PNB,Mar 2013,50.0,568,6695,342,7655,14,4,777,6860,7655
1112,PNB,Mar 2014,66.0,868,10108,498,11540,26,3,645,10865,11540
1113,PNB,Mar 2015,104.0,1475,16481,976,19035,40,18,1586,17392,19035
1114,PNB,Mar 2016,127.0,2019,26014,1511,29671,58,4,1622,27987,29671
1115,PNB,Mar 2017,166.0,5412,35497,1885,42960,58,2,3280,39620,42960
1116,PNB,Mar 2018,167.0,6402,53777,2673,63018,255,10,2413,60340,63018
1117,PNB,Mar 2019,167.0,7268,71859,4456,83750,102,5,4457,79185,83750
1118,PNB,Mar 2020,168.0,7779,67736,3191,78874,250,4,2048,76572,78874
1119,PNB,Mar 2021,168.0,8699,59394,3072,71333,181,2,2033,69117,71333
1120,PNB,Mar 2022,169.0,9632,52961,2888,65649,150,4,3472,62024,65649
1121,PNB,Mar 2023,169.0,10784,53621,2231,66805,146,3,3188,63468,66805
1122,PNB,Mar 2024,260.0,14673,55017,2422,72371,206,15,4345,67804,72371
1123,PNB,Mar 2013,50.0,568,6695,342,7655,14,4,777,6860,7655
1124,PNB,Mar 2014,66.0,868,10108,498,11540,26,3,645,10865,11540
1125,PNB,Mar 2015,104.0,1475,16481,976,19035,40,18,1586,17392,19035
1126,PNB,Mar 2016,127.0,2019,26014,1511,29671,58,4,1622,27987,29671
1127,PNB,Mar 2017,166.0,5412,35497,1885,42960,58,2,3280,39620,42960
1128,PNB,Mar 2018,167.0,6402,53777,2673,63018,255,10,2413,60340,63018
1129,PNB,Mar 2019,167.0,7268,71859,4456,83750,102,5,4457,79185,83750
1130,PNB,Mar 2020,168.0,7779,67736,3191,78874,250,4,2048,76572,78874
1131,PNB,Mar 2021,168.0,8699,59394,3072,71333,181,2,2033,69117,71333
1132,PNB,Mar 2022,169.0,9632,52961,2888,65649,150,4,3472,62024,65649
1133,PNB,Mar 2023,169.0,10784,53621,2231,66805,146,3,3188,63468,66805
1134,PNB,Mar 2024,260.0,14673,55017,2422,72371,206,15,4345,67804,72371
1135,POWERGRID,Mar 2013,4630.0,21773,69233,17748,113384,62568,35265,586,14964,113384
1136,POWERGRID,Mar 2014,5232.0,29466,84220,22562,141480,74252,50069,423,16736,141480
1137,POWERGRID,Mar 2015,5232.0,33207,96243,26102,160784,91191,53681,220,15693,160784
1138,POWERGRID,Mar 2016,5232.0,38738,108545,26797,179312,115094,45611,919,17688,179312
1139,POWERGRID,Mar 2017,5232.0,44634,118988,26809,195662,137678,38264,1165,18555,195662
1140,POWERGRID,Mar 2018,5232.0,49194,131503,39425,225354,156198,37669,1224,30264,225354
1141,POWERGRID,Mar 2019,5232.0,53857,146376,41916,247380,172740,37631,1296,35713,247380
1142,POWERGRID,Mar 2020,5232.0,59464,148270,43706,256671,181112,35177,1431,38951,256671
1143,POWERGRID,Mar 2021,5232.0,64704,143232,42539,255708,183726,24838,1486,45659,255708
1144,POWERGRID,Mar 2022,6975.0,69272,134696,40008,250950,191773,12854,3788,42536,250950
1145,POWERGRID,Mar 2023,6975.0,76051,128584,40615,252225,185437,13772,3489,49527,252225
1146,POWERGRID,Mar 2024,9301.0,77845,123516,40168,250829,177761,18197,4163,50708,250829
1147,POWERGRID,Sep 2024,9301.0,82760,122568,40668,255297,174178,23767,3410,53941,255297
1148,POWERGRID,Mar 2013,4630.0,21773,69233,17748,113384,62568,35265,586,14964,113384
1149,POWERGRID,Mar 2014,5232.0,29466,84220,22562,141480,74252,50069,423,16736,141480
1150,POWERGRID,Mar 2015,5232.0,33207,96243,26102,160784,91191,53681,220,15693,160784
1151,POWERGRID,Mar 2016,5232.0,38738,108545,26797,179312,115094,45611,919,17688,179312
1152,POWERGRID,Mar 2017,5232.0,44634,118988,26809,195662,137678,38264,1165,18555,195662
1153,POWERGRID,Mar 2018,5232.0,49194,131503,39425,225354,156198,37669,1224,30264,225354
1154,POWERGRID,Mar 2019,5232.0,53857,146376,41916,247380,172740,37631,1296,35713,247380
1155,POWERGRID,Mar 2020,5232.0,59464,148270,43706,256671,181112,35177,1431,38951,256671
1156,POWERGRID,Mar 2021,5232.0,64704,143232,42539,255708,183726,24838,1486,45659,255708
1157,POWERGRID,Mar 2022,6975.0,69272,134696,40008,250950,191773,12854,3788,42536,250950
1158,POWERGRID,Mar 2023,6975.0,76051,128584,40615,252225,185437,13772,3489,49527,252225
1159,POWERGRID,Mar 2024,9301.0,77845,123516,40168,250829,177761,18197,4163,50708,250829
1160,POWERGRID,Sep 2024,9301.0,82760,122568,40668,255297,174178,23767,3410,53941,255297
1388,TECHM,Mar 2013,128.0,5298,1380,2178,8984,1245,34,4099,3607,8984
1389,TECHM,Mar 2014,234.0,8948,363,6394,15940,2594,266,1472,11607,15940
1390,TECHM,Mar 2015,480.0,11768,700,6899,19848,4033,568,2103,13145,19848
1391,TECHM,Mar 2016,436.0,14155,1091,6843,22525,4309,629,1297,16289,22525
1392,TECHM,Mar 2017,439.0,15998,1366,8254,26057,6460,373,2396,16828,26057
1393,TECHM,Mar 2018,442.0,18401,2397,9192,30431,7622,240,4841,17728,30431
1394,TECHM,Mar 2019,444.0,19841,1996,11166,33446,7061,276,7342,18766,33446
1395,TECHM,Mar 2020,436.0,21377,3670,11834,37318,8872,50,5848,22548,37318
1396,TECHM,Mar 2021,437.0,24428,2901,11836,39602,9018,118,10238,20228,39602
1397,TECHM,Mar 2022,439.0,26447,2618,14911,44416,14784,165,4884,24583,44416
1398,TECHM,Mar 2023,440.0,27484,2740,15162,45827,14932,120,3388,27388,45827
1399,TECHM,Mar 2024,441.0,26228,2537,13943,43149,13903,133,3238,25875,43149
1400,TECHM,Sep 2024,442.0,26004,2035,14346,42827,13818,11,2312,26686,42827
1440,TECHM,Mar 2013,128.0,5298,1380,2178,8984,1245,34,4099,3607,8984
1441,TECHM,Mar 2014,234.0,8948,363,6394,15940,2594,266,1472,11607,15940
1442,TECHM,Mar 2015,480.0,11768,700,6899,19848,4033,568,2103,13145,19848
1443,TECHM,Mar 2016,436.0,14155,1091,6843,22525,4309,629,1297,16289,22525
1444,TECHM,Mar 2017,439.0,15998,1366,8254,26057,6460,373,2396,16828,26057
1445,TECHM,Mar 2018,442.0,18401,2397,9192,30431,7622,240,4841,17728,30431
1446,TECHM,Mar 2019,444.0,19841,1996,11166,33446,7061,276,7342,18766,33446
1447,TECHM,Mar 2020,436.0,21377,3670,11834,37318,8872,50,5848,22548,37318
1448,TECHM,Mar 2021,437.0,24428,2901,11836,39602,9018,118,10238,20228,39602
1449,TECHM,Mar 2022,439.0,26447,2618,14911,44416,14784,165,4884,24583,44416
1450,TECHM,Mar 2023,440.0,27484,2740,15162,45827,14932,120,3388,27388,45827
1451,TECHM,Mar 2024,441.0,26228,2537,13943,43149,13903,133,3238,25875,43149
1452,TECHM,Sep 2024,442.0,26004,2035,14346,42827,13818,11,2312,26686,42827
